cliente,servico,review,sentimento_modelo,sentimento
Cliente_089,Internet,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_049,Telefone,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_059,Nuvem,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_170,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_188,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_015,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_190,Nuvem,Equipe super preparada e educada.,5 stars,Positivo
Cliente_190,Telefone,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_175,Streaming,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_190,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_051,TV,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_108,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_055,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_064,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_131,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_051,Internet,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_135,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_021,Fibra Óptica,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_073,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_167,Streaming,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_018,Streaming,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_132,Internet,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_089,Nuvem,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_060,Telefone,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_014,Nuvem,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_009,Nuvem,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_090,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_053,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_130,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_084,Telefone,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_092,Nuvem,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_111,Internet,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_188,Telefone,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_199,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_172,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_008,Nuvem,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_175,TV,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_035,Nuvem,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_081,TV,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_164,Telefone,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_050,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_104,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_132,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_002,Fibra Óptica,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_134,Streaming,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_054,Telefone,Não resolve meu problema nunca.,1 star,Negativo
Cliente_106,Internet,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_004,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_054,Telefone,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_191,Nuvem,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_146,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_044,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_162,Telefone,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_190,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_014,Nuvem,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_095,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_048,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_015,Fibra Óptica,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_200,TV,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_190,Nuvem,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_040,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_082,Internet,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_111,Telefone,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_053,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_024,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_154,Fibra Óptica,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_188,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_124,Fibra Óptica,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_041,TV,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_157,Nuvem,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_015,TV,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_045,Fibra Óptica,Não resolve meu problema nunca.,1 star,Negativo
Cliente_065,Streaming,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_089,Telefone,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_071,Telefone,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_009,TV,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_088,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_129,Internet,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_136,TV,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_063,Fibra Óptica,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_139,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_081,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_136,Telefone,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_163,Telefone,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_163,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_033,Fibra Óptica,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_123,Fibra Óptica,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_005,Fibra Óptica,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_041,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_028,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_135,Streaming,Não resolve meu problema nunca.,1 star,Negativo
Cliente_072,TV,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_012,TV,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_162,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_033,Nuvem,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_048,Telefone,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_151,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_062,Nuvem,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_037,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_099,Fibra Óptica,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_172,Internet,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_104,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_035,Telefone,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_193,TV,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_101,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_175,Telefone,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_131,Streaming,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_001,Nuvem,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_005,TV,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_142,TV,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_103,Fibra Óptica,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_027,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_137,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_015,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_090,Telefone,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_042,TV,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_124,Fibra Óptica,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_179,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_063,TV,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_096,Internet,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_052,Fibra Óptica,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_096,Telefone,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_132,Nuvem,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_151,Streaming,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_143,Internet,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_171,Fibra Óptica,Equipe super preparada e educada.,5 stars,Positivo
Cliente_029,Nuvem,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_036,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_013,TV,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_160,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_071,Telefone,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_187,Streaming,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_086,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_028,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_066,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_170,Telefone,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_045,Nuvem,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_062,TV,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_185,Internet,Equipe super preparada e educada.,5 stars,Positivo
Cliente_134,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_028,Nuvem,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_028,Streaming,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_108,Telefone,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_044,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_084,Internet,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_030,Internet,Não resolve meu problema nunca.,1 star,Negativo
Cliente_190,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_075,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_128,Streaming,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_092,Nuvem,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_190,Internet,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_129,Telefone,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_121,Internet,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_027,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_190,Fibra Óptica,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_121,Internet,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_116,Telefone,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_003,TV,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_103,Internet,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_198,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_200,TV,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_155,Nuvem,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_137,Nuvem,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_062,Nuvem,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_165,Internet,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_051,Streaming,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_172,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_152,Telefone,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_059,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_118,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_160,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_096,Telefone,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_180,TV,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_113,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_062,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_186,Streaming,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_052,Telefone,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_012,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_039,TV,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_130,Telefone,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_131,Nuvem,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_113,TV,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_101,Streaming,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_113,Telefone,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_184,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_081,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_187,Streaming,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_113,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_002,Streaming,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_130,Nuvem,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_054,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_087,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_129,Fibra Óptica,Não resolve meu problema nunca.,1 star,Negativo
Cliente_147,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_126,Streaming,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_130,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_053,Internet,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_172,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_160,TV,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_198,Fibra Óptica,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_160,Streaming,Equipe super preparada e educada.,5 stars,Positivo
Cliente_068,Telefone,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_183,Internet,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_184,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_123,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_145,TV,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_038,Streaming,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_024,TV,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_069,Telefone,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_116,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_098,Nuvem,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_198,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_139,Fibra Óptica,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_144,Internet,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_097,Internet,Não resolve meu problema nunca.,1 star,Negativo
Cliente_124,Streaming,Não resolve meu problema nunca.,1 star,Negativo
Cliente_187,Streaming,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_070,Nuvem,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_093,Fibra Óptica,Não resolve meu problema nunca.,1 star,Negativo
Cliente_003,Internet,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_148,Internet,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_187,Internet,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_164,Internet,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_147,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_090,Fibra Óptica,Não resolve meu problema nunca.,1 star,Negativo
Cliente_195,Telefone,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_147,Telefone,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_148,Nuvem,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_096,TV,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_199,Internet,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_052,Internet,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_161,Streaming,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_168,Streaming,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_128,Nuvem,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_039,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_082,Nuvem,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_104,TV,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_129,Telefone,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_011,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_185,Fibra Óptica,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_178,TV,"Experiência comum, igual a outras empresas.",5 stars,Positivo
Cliente_151,Internet,"Cobrança correta, sem surpresas.",3 stars,Neutro
Cliente_159,Fibra Óptica,Não resolve meu problema nunca.,1 star,Negativo
Cliente_042,Streaming,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_099,Nuvem,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_007,Streaming,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_144,Telefone,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_090,Streaming,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_112,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_060,Fibra Óptica,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_113,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_002,Internet,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_129,Telefone,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_048,Fibra Óptica,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_140,Streaming,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_197,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_037,Nuvem,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_160,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_009,Nuvem,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_099,Streaming,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_147,Streaming,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_048,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_131,Streaming,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_148,Internet,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_152,Telefone,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_054,Nuvem,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_120,Internet,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_161,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_152,Nuvem,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_116,Internet,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_075,Streaming,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_113,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_200,Fibra Óptica,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_164,Nuvem,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_166,Streaming,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_104,Nuvem,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_084,TV,Não resolve meu problema nunca.,1 star,Negativo
Cliente_112,Internet,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_099,TV,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_153,Internet,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_093,Telefone,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_146,Fibra Óptica,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_128,Nuvem,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_110,Telefone,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_082,Telefone,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_194,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_054,Fibra Óptica,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_163,Internet,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_189,TV,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_169,Streaming,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_161,Internet,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_068,Streaming,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_033,Telefone,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_142,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_021,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_048,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_148,Fibra Óptica,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_128,TV,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_136,TV,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_135,Internet,Muito bom! Surpreendeu minhas expectativas.,5 stars,Positivo
Cliente_195,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_145,TV,Equipe super preparada e educada.,5 stars,Positivo
Cliente_128,Fibra Óptica,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_033,Nuvem,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_176,Nuvem,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_187,Nuvem,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_115,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_119,TV,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_022,Internet,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_158,Internet,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_038,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_109,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_051,Nuvem,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_182,TV,Funciona na maior parte do tempo.,4 stars,Positivo
Cliente_008,Internet,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_027,Internet,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_027,Telefone,"Muito lento, sempre com problemas.",2 stars,Negativo
Cliente_021,Telefone,Atendimento demorado e ineficiente.,1 star,Negativo
Cliente_030,Telefone,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_097,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_028,Nuvem,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_111,Fibra Óptica,"É um serviço ok, cumpre o que promete.",4 stars,Positivo
Cliente_192,Nuvem,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_197,Nuvem,"O sinal cai toda hora, não gosto.",1 star,Negativo
