cliente,servico,review
Cliente_065,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_089,Telefone,Estou gostando bastante do serviço.
Cliente_071,Telefone,Péssimo suporte ao cliente.
Cliente_009,TV,Atendimento cordial e sem enrolação.
Cliente_088,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_129,Internet,"Fui muito bem atendido, recomendo!"
Cliente_136,TV,O atendimento poderia ser melhor.
Cliente_063,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_139,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_081,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_136,Telefone,O atendimento poderia ser melhor.
Cliente_163,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_163,Internet,Estou muito insatisfeito com o serviço.
Cliente_033,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_123,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_005,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_041,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado."
Cliente_028,Internet,"O sinal cai toda hora, não gosto."
Cliente_135,Streaming,Não resolve meu problema nunca.
Cliente_072,TV,"Muito lento, sempre com problemas."
Cliente_012,TV,Ainda estou avaliando o serviço.
Cliente_162,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_033,Nuvem,Péssimo! Nunca mais contrato.
Cliente_048,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_151,Internet,Péssimo suporte ao cliente.
Cliente_062,Nuvem,"Serviço razoável, mas melhorou ultimamente."
Cliente_037,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_099,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_172,Internet,"É um serviço ok, cumpre o que promete."
Cliente_104,TV,Péssimo! Nunca mais contrato.
Cliente_035,Telefone,"Cobrança correta, sem surpresas."
Cliente_193,TV,O atendimento poderia ser melhor.
Cliente_101,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_175,Telefone,Atendimento demorado e ineficiente.
Cliente_131,Streaming,Atendimento rápido e eficiente.
Cliente_001,Nuvem,O app poderia ser mais rápido.
Cliente_005,TV,"Resolveu meu problema na hora, parabéns!"
Cliente_142,TV,Estou gostando bastante do serviço.
Cliente_103,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_027,TV,Equipe super preparada e educada.
Cliente_137,Internet,Funcionou perfeitamente durante a viagem.
Cliente_015,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_090,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_042,TV,Atendimento demorado e ineficiente.
Cliente_124,Fibra Óptica,O app poderia ser mais rápido.
Cliente_179,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.
Cliente_063,TV,"Muito lento, sempre com problemas."
Cliente_096,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_052,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_096,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_132,Nuvem,"Cobrança correta, sem surpresas."
Cliente_151,Streaming,"Resolveu meu problema na hora, parabéns!"
Cliente_143,Internet,"Quero cancelar, só dor de cabeça."
Cliente_171,Fibra Óptica,Equipe super preparada e educada.
Cliente_029,Nuvem,O app poderia ser mais rápido.
Cliente_036,Streaming,"Muito lento, sempre com problemas."
Cliente_013,TV,O atendimento poderia ser melhor.
Cliente_160,TV,"Cobrança correta, sem surpresas."
Cliente_071,Telefone,"O sinal cai toda hora, não gosto."
Cliente_187,Streaming,Atendimento cordial e sem enrolação.
Cliente_086,TV,Péssimo! Nunca mais contrato.
Cliente_028,TV,"O sinal cai toda hora, não gosto."
Cliente_066,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_170,Telefone,"Serviço razoável, mas melhorou ultimamente."
Cliente_045,Nuvem,Estou gostando bastante do serviço.
Cliente_062,TV,Funciona na maior parte do tempo.
Cliente_185,Internet,Equipe super preparada e educada.
Cliente_134,Internet,Nota 10! Melhor experiência que já tive.
Cliente_028,Nuvem,"Serviço comum, nem bom nem ruim."
Cliente_028,Streaming,O app poderia ser mais rápido.
Cliente_108,Telefone,Ainda estou avaliando o serviço.
Cliente_044,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_084,Internet,Muito bom! Surpreendeu minhas expectativas.
Cliente_030,Internet,Não resolve meu problema nunca.
Cliente_190,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_075,Streaming,Nunca consigo falar com o suporte.
Cliente_128,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_092,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_190,Internet,Muito bom! Surpreendeu minhas expectativas.
Cliente_129,Telefone,O atendimento poderia ser melhor.
Cliente_121,Internet,"É um serviço ok, cumpre o que promete."
Cliente_027,Streaming,O atendimento poderia ser melhor.
Cliente_190,Fibra Óptica,Ainda estou avaliando o serviço.
Cliente_121,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_116,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_003,TV,Péssimo suporte ao cliente.
Cliente_103,Internet,"O sinal cai toda hora, não gosto."
Cliente_198,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_200,TV,Atendimento rápido e eficiente.
Cliente_155,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_137,Nuvem,"Resolveu meu problema na hora, parabéns!"
Cliente_062,Nuvem,"Quero cancelar, só dor de cabeça."
Cliente_165,Internet,"Quero cancelar, só dor de cabeça."
Cliente_051,Streaming,"O sinal cai toda hora, não gosto."
Cliente_172,TV,Péssimo! Nunca mais contrato.
Cliente_152,Telefone,"Serviço comum, nem bom nem ruim."
Cliente_059,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_118,Internet,Péssimo suporte ao cliente.
Cliente_160,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_096,Telefone,"Ótimo serviço, estou muito satisfeito."
Cliente_180,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_113,Streaming,Nunca consigo falar com o suporte.
Cliente_062,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_186,Streaming,Péssimo suporte ao cliente.
Cliente_052,Telefone,"Serviço comum, nem bom nem ruim."
Cliente_012,Internet,Péssimo suporte ao cliente.
Cliente_039,TV,Atendimento rápido e eficiente.
Cliente_130,Telefone,Atendimento cordial e sem enrolação.
Cliente_131,Nuvem,"Fui muito bem atendido, recomendo!"
Cliente_113,TV,Estou gostando bastante do serviço.
Cliente_101,Streaming,Funciona na maior parte do tempo.
Cliente_113,Telefone,Nunca consigo falar com o suporte.
Cliente_184,Streaming,"Serviço razoável, mas melhorou ultimamente."
Cliente_081,Streaming,"Muito lento, sempre com problemas."
Cliente_187,Streaming,O app poderia ser mais rápido.
Cliente_113,Internet,Atendimento cordial e sem enrolação.
Cliente_002,Streaming,Estou gostando bastante do serviço.
Cliente_130,Nuvem,"Cobrança correta, sem surpresas."
Cliente_054,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_087,TV,Não resolve meu problema nunca.
Cliente_129,Fibra Óptica,Não resolve meu problema nunca.
Cliente_147,Streaming,"Muito lento, sempre com problemas."
Cliente_126,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_130,Telefone,"Muito lento, sempre com problemas."
Cliente_053,Internet,Nunca consigo falar com o suporte.
Cliente_172,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_160,TV,Péssimo suporte ao cliente.
Cliente_198,Fibra Óptica,"Serviço comum, nem bom nem ruim."
Cliente_160,Streaming,Equipe super preparada e educada.
Cliente_068,Telefone,Atendimento rápido e eficiente.
Cliente_183,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_184,TV,Equipe super preparada e educada.
Cliente_123,Fibra Óptica,"É um serviço ok, cumpre o que promete."
Cliente_145,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_038,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_024,TV,Nunca consigo falar com o suporte.
Cliente_069,Telefone,"Nada a reclamar, tudo dentro do esperado."
Cliente_116,TV,"O sinal cai toda hora, não gosto."
Cliente_098,Nuvem,Estou gostando bastante do serviço.
Cliente_198,Telefone,"Muito lento, sempre com problemas."
Cliente_139,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_144,Internet,O atendimento poderia ser melhor.
Cliente_097,Internet,Não resolve meu problema nunca.
Cliente_124,Streaming,Não resolve meu problema nunca.
Cliente_187,Streaming,Funciona na maior parte do tempo.
Cliente_070,Nuvem,O app poderia ser mais rápido.
Cliente_093,Fibra Óptica,Não resolve meu problema nunca.
Cliente_003,Internet,"Nada a reclamar, tudo dentro do esperado."
Cliente_148,Internet,"Resolveu meu problema na hora, parabéns!"
Cliente_187,Internet,Estou gostando bastante do serviço.
Cliente_164,Internet,"Resolveu meu problema na hora, parabéns!"
Cliente_147,TV,"Serviço comum, nem bom nem ruim."
Cliente_090,Fibra Óptica,Não resolve meu problema nunca.
Cliente_195,Telefone,"Experiência comum, igual a outras empresas."
Cliente_147,Telefone,Estou muito insatisfeito com o serviço.
Cliente_148,Nuvem,"Resolveu meu problema na hora, parabéns!"
Cliente_096,TV,"Cobrança correta, sem surpresas."
Cliente_199,Internet,Péssimo suporte ao cliente.
Cliente_052,Internet,Atendimento rápido e eficiente.
Cliente_161,Streaming,Nota 10! Melhor experiência que já tive.
Cliente_168,Streaming,Atendimento demorado e ineficiente.
Cliente_128,Nuvem,Atendimento demorado e ineficiente.
Cliente_039,Internet,Funcionou perfeitamente durante a viagem.
Cliente_082,Nuvem,O atendimento poderia ser melhor.
Cliente_104,TV,"Ótimo serviço, estou muito satisfeito."
Cliente_129,Telefone,Nota 10! Melhor experiência que já tive.
Cliente_011,Internet,Nota 10! Melhor experiência que já tive.
Cliente_185,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_178,TV,"Experiência comum, igual a outras empresas."
Cliente_151,Internet,"Cobrança correta, sem surpresas."
Cliente_159,Fibra Óptica,Não resolve meu problema nunca.
Cliente_042,Streaming,"Nada a reclamar, tudo dentro do esperado."
Cliente_099,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_007,Streaming,"Nada a reclamar, tudo dentro do esperado."
Cliente_144,Telefone,"Serviço comum, nem bom nem ruim."
Cliente_090,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_112,Internet,Estou muito insatisfeito com o serviço.
Cliente_060,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_113,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_002,Internet,O app poderia ser mais rápido.
Cliente_129,Telefone,"O sinal cai toda hora, não gosto."
Cliente_048,Fibra Óptica,Atendimento cordial e sem enrolação.
Cliente_140,Streaming,"Muito lento, sempre com problemas."
Cliente_197,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_037,Nuvem,Nunca consigo falar com o suporte.
Cliente_160,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_009,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_099,Streaming,O app poderia ser mais rápido.
Cliente_147,Streaming,Muito bom! Surpreendeu minhas expectativas.
Cliente_048,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_131,Streaming,Poderiam oferecer mais opções.
Cliente_148,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_152,Telefone,Péssimo! Nunca mais contrato.
Cliente_054,Nuvem,O atendimento poderia ser melhor.
Cliente_120,Internet,Ainda estou avaliando o serviço.
Cliente_161,Fibra Óptica,Muito bom! Surpreendeu minhas expectativas.
Cliente_152,Nuvem,Muito bom! Surpreendeu minhas expectativas.
Cliente_116,Internet,Funciona na maior parte do tempo.
Cliente_075,Streaming,Atendimento cordial e sem enrolação.
Cliente_113,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_200,Fibra Óptica,"Muito lento, sempre com problemas."
Cliente_164,Nuvem,Atendimento cordial e sem enrolação.
Cliente_166,Streaming,O app poderia ser mais rápido.
Cliente_104,Nuvem,Estou gostando bastante do serviço.
Cliente_084,TV,Não resolve meu problema nunca.
Cliente_112,Internet,"Quero cancelar, só dor de cabeça."
Cliente_099,TV,Péssimo suporte ao cliente.
Cliente_153,Internet,O atendimento poderia ser melhor.
Cliente_093,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_146,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_128,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_110,Telefone,Péssimo! Nunca mais contrato.
Cliente_082,Telefone,Péssimo suporte ao cliente.
Cliente_194,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_054,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_163,Internet,Atendimento demorado e ineficiente.
Cliente_189,TV,Estou gostando bastante do serviço.
Cliente_169,Streaming,Atendimento cordial e sem enrolação.
Cliente_161,Internet,Estou gostando bastante do serviço.
Cliente_068,Streaming,O atendimento poderia ser melhor.
Cliente_033,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_142,Streaming,"Serviço razoável, mas melhorou ultimamente."
Cliente_021,TV,"O sinal cai toda hora, não gosto."
Cliente_048,Internet,Funcionou perfeitamente durante a viagem.
Cliente_148,Fibra Óptica,Nunca consigo falar com o suporte.
Cliente_128,TV,"Serviço razoável, mas melhorou ultimamente."
Cliente_136,TV,"Serviço comum, nem bom nem ruim."
Cliente_135,Internet,Muito bom! Surpreendeu minhas expectativas.
Cliente_195,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_145,TV,Equipe super preparada e educada.
Cliente_128,Fibra Óptica,"Muito lento, sempre com problemas."
Cliente_033,Nuvem,Atendimento rápido e eficiente.
Cliente_176,Nuvem,"Resolveu meu problema na hora, parabéns!"
Cliente_187,Nuvem,Atendimento cordial e sem enrolação.
Cliente_115,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_119,TV,Atendimento cordial e sem enrolação.
Cliente_022,Internet,Nota 10! Melhor experiência que já tive.
Cliente_158,Internet,Atendimento cordial e sem enrolação.
Cliente_038,Streaming,Nunca consigo falar com o suporte.
Cliente_109,Internet,Funcionou perfeitamente durante a viagem.
Cliente_051,Nuvem,Atendimento demorado e ineficiente.
Cliente_182,TV,Funciona na maior parte do tempo.
Cliente_008,Internet,Funcionou perfeitamente durante a viagem.
Cliente_027,Internet,Estou muito insatisfeito com o serviço.
Cliente_027,Telefone,"Muito lento, sempre com problemas."
Cliente_021,Telefone,Atendimento demorado e ineficiente.
Cliente_030,Telefone,Nunca consigo falar com o suporte.
Cliente_097,TV,"O sinal cai toda hora, não gosto."
Cliente_028,Nuvem,O atendimento poderia ser melhor.
Cliente_111,Fibra Óptica,"É um serviço ok, cumpre o que promete."
Cliente_192,Nuvem,Poderiam oferecer mais opções.
Cliente_197,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_061,TV,Nunca consigo falar com o suporte.
Cliente_048,TV,Péssimo! Nunca mais contrato.
Cliente_147,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_004,Internet,Nota 10! Melhor experiência que já tive.
Cliente_035,Streaming,Nunca consigo falar com o suporte.
Cliente_192,Streaming,Péssimo suporte ao cliente.
Cliente_049,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente."
Cliente_017,Internet,Péssimo suporte ao cliente.
Cliente_172,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_158,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_046,Fibra Óptica,O app poderia ser mais rápido.
Cliente_117,Internet,"Muito lento, sempre com problemas."
Cliente_006,Internet,Nota 10! Melhor experiência que já tive.
Cliente_099,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_124,Telefone,"Cobrança correta, sem surpresas."
Cliente_037,TV,"Serviço comum, nem bom nem ruim."
Cliente_024,Fibra Óptica,"Ótimo serviço, estou muito satisfeito."
Cliente_093,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_046,Fibra Óptica,"Fui muito bem atendido, recomendo!"
Cliente_181,Fibra Óptica,Não resolve meu problema nunca.
Cliente_095,TV,"Resolveu meu problema na hora, parabéns!"
Cliente_099,Telefone,"Quero cancelar, só dor de cabeça."
Cliente_188,Internet,"É um serviço ok, cumpre o que promete."
Cliente_116,Nuvem,Atendimento demorado e ineficiente.
Cliente_191,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_160,Nuvem,"Cobrança correta, sem surpresas."
Cliente_161,Telefone,Atendimento demorado e ineficiente.
Cliente_067,Nuvem,"Cobrança correta, sem surpresas."
Cliente_128,Fibra Óptica,"É um serviço ok, cumpre o que promete."
Cliente_018,TV,Péssimo! Nunca mais contrato.
Cliente_025,Nuvem,Estou gostando bastante do serviço.
Cliente_054,Telefone,Atendimento rápido e eficiente.
Cliente_058,Telefone,O atendimento poderia ser melhor.
Cliente_067,TV,Atendimento cordial e sem enrolação.
Cliente_104,Nuvem,"Serviço comum, nem bom nem ruim."
Cliente_174,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_024,Internet,Atendimento cordial e sem enrolação.
Cliente_114,Streaming,"É um serviço ok, cumpre o que promete."
Cliente_032,Telefone,Equipe super preparada e educada.
Cliente_175,Internet,Poderiam oferecer mais opções.
Cliente_086,Telefone,Poderiam oferecer mais opções.
Cliente_151,Internet,"Serviço comum, nem bom nem ruim."
Cliente_194,Streaming,"Muito lento, sempre com problemas."
Cliente_127,Internet,O app poderia ser mais rápido.
Cliente_155,Telefone,Não resolve meu problema nunca.
Cliente_130,Nuvem,"Resolveu meu problema na hora, parabéns!"
Cliente_017,Telefone,Nunca consigo falar com o suporte.
Cliente_104,Fibra Óptica,Poderiam oferecer mais opções.
Cliente_161,TV,"Serviço razoável, mas melhorou ultimamente."
Cliente_137,TV,Funcionou perfeitamente durante a viagem.
Cliente_043,Fibra Óptica,Péssimo suporte ao cliente.
Cliente_176,TV,"Serviço comum, nem bom nem ruim."
Cliente_039,TV,Funciona na maior parte do tempo.
Cliente_170,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_026,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_099,Nuvem,"Nada a reclamar, tudo dentro do esperado."
Cliente_050,Telefone,Atendimento rápido e eficiente.
Cliente_153,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_152,Internet,"O sinal cai toda hora, não gosto."
Cliente_013,Telefone,"É um serviço ok, cumpre o que promete."
Cliente_060,Telefone,"É um serviço ok, cumpre o que promete."
Cliente_135,Telefone,"Muito lento, sempre com problemas."
Cliente_057,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_036,Nuvem,"Experiência comum, igual a outras empresas."
Cliente_173,Internet,"É um serviço ok, cumpre o que promete."
Cliente_020,Telefone,"Cobrança correta, sem surpresas."
Cliente_065,Nuvem,Funciona na maior parte do tempo.
Cliente_008,Telefone,Atendimento rápido e eficiente.
Cliente_144,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_142,Telefone,Funcionou perfeitamente durante a viagem.
Cliente_115,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_143,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_092,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_098,Streaming,Atendimento cordial e sem enrolação.
Cliente_066,TV,Funcionou perfeitamente durante a viagem.
Cliente_032,Internet,Péssimo suporte ao cliente.
Cliente_191,Telefone,"Muito lento, sempre com problemas."
Cliente_086,Internet,"O sinal cai toda hora, não gosto."
Cliente_051,TV,"Fui muito bem atendido, recomendo!"
Cliente_153,Telefone,Péssimo suporte ao cliente.
Cliente_186,Streaming,"Muito lento, sempre com problemas."
Cliente_063,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_190,Streaming,Nunca consigo falar com o suporte.
Cliente_125,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_150,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_058,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_058,Fibra Óptica,"Quero cancelar, só dor de cabeça."
Cliente_086,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_049,Telefone,Estou muito insatisfeito com o serviço.
Cliente_180,Internet,Péssimo! Nunca mais contrato.
Cliente_170,Fibra Óptica,Funciona na maior parte do tempo.
Cliente_070,Fibra Óptica,Atendimento rápido e eficiente.
Cliente_015,Internet,"Ótimo serviço, estou muito satisfeito."
Cliente_054,Fibra Óptica,O app poderia ser mais rápido.
Cliente_188,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_101,Streaming,Péssimo! Nunca mais contrato.
Cliente_008,TV,Péssimo! Nunca mais contrato.
Cliente_053,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_060,Streaming,"Serviço comum, nem bom nem ruim."
Cliente_108,Streaming,Péssimo! Nunca mais contrato.
Cliente_005,Fibra Óptica,"Serviço comum, nem bom nem ruim."
Cliente_103,Telefone,Muito bom! Surpreendeu minhas expectativas.
Cliente_196,Telefone,Péssimo! Nunca mais contrato.
Cliente_006,Fibra Óptica,Equipe super preparada e educada.
Cliente_109,Fibra Óptica,O app poderia ser mais rápido.
Cliente_116,Internet,Estou gostando bastante do serviço.
Cliente_094,Internet,"Quero cancelar, só dor de cabeça."
Cliente_047,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_099,TV,Nota 10! Melhor experiência que já tive.
Cliente_055,TV,"Ótimo serviço, estou muito satisfeito."
Cliente_168,TV,"Muito lento, sempre com problemas."
Cliente_052,Streaming,"Muito lento, sempre com problemas."
Cliente_144,Streaming,Estou muito insatisfeito com o serviço.
Cliente_013,Internet,Não resolve meu problema nunca.
Cliente_114,Telefone,Atendimento cordial e sem enrolação.
